A,20191127,81.08,81.34,80.69,81.08,1628000
AA,20191127,20.29,20.6,20.18,20.6,2293400
AAAU,20191127,14.52,14.53,14.5,14.51,20500
AACG,20191127,1.8,1.845,1.8,1.8001,10000
AADR,20191127,50.63,50.67,50.5179,50.67,13500
AAL,20191127,29.07,29.33,28.7416,28.95,3387600
AAMC,20191127,13.6,13.6,13.6,13.6,200
AAME,20191127,1.63,2,1.63,2,800
AAN,20191127,59.65,60.72,59.02,59.59,914200
AAOI,20191127,10.65,10.82,10.45,10.68,339300
AAON,20191127,49.47,49.94,49.21,49.44,118500
AAP,20191127,157.61,160.61,157.33,158.78,809700
AAPL,20191127,265.58,267.98,265.31,267.84,16386100
AAT,20191127,46.81,47.07,46.45,47,144900
AAU,20191127,0.48,0.48,0.46,0.46,156900
AAWW,20191127,26.42,26.82,26.245,26.57,233900
AAXJ,20191127,70.75,70.97,70.64,70.88,419900
AAXN,20191127,74.81,76.07,72.02,75.57,1450300
AB,20191127,28.82,29.01,28.6812,28.88,160900
ABB,20191127,22.13,22.15,21.96,22.07,2292800
ABBV,20191127,87.86,88.81,87.61,88.33,4714600
ABC,20191127,87.5,88.55,86.88,88.51,629700
ABCB,20191127,43.53,43.95,43.5,43.68,134900
ABDC,20191127,8.83,9.01,8.83,9.01,76700
ABEO,20191127,2.95,3.51,2.95,3.4,1165400
ABEV,20191127,4.2,4.23,4.15,4.23,15623500
ABG,20191127,112.04,113.01,111.45,112.52,182000
ABIO,20191127,5.34,5.99,5.3358,5.574,151800
ABM,20191127,38.96,39.13,38.72,38.84,121300
ABMD,20191127,194.97,202.87,194.2815,196.79,747300
ABR,20191127,14.93,15.18,14.93,15.12,718400
ABR-A,20191127,26.15,26.19,26.1,26.14,2800
ABR-B,20191127,25.6826,25.744,25.6826,25.744,700
ABR-C,20191127,26.1213,26.1394,26.0656,26.1394,900
ABT,20191127,85.97,85.97,85.16,85.42,2865500
ABTX,20191127,35.66,35.89,35.6322,35.76,91200
ABUS,20191127,1.67,1.75,1.63,1.65,397200
AC,20191127,35.43,36.49,35.43,36.18,4800
ACA,20191127,39.65,39.92,39.29,39.44,138200
ACAD,20191127,47.76,47.77,46.95,47,904200
ACAM,20191127,9.94,9.94,9.94,9.94,0
ACAMU,20191127,10.09,10.1,10.08,10.08,3000
ACAMW,20191127,0.67,0.67,0.67,0.67,200
ACB,20191127,2.47,2.54,2.43,2.52,36146800
ACBI,20191127,18.98,19.02,18.81,18.95,47500
ACC,20191127,47.95,48.01,47.51,48,609700
ACCO,20191127,9.17,9.27,9.135,9.21,274200
ACE.W,20191127,2.45,2.5,2.45,2.5,812300
ACEL,20191127,10.55,10.62,10.5,10.55,100100
ACER,20191127,3.5,3.5,3.41,3.47,31800
ACES,20191127,32.28,32.515,32.28,32.515,9400
ACGL,20191127,42.05,42.29,41.74,42.23,1506000
ACGLO,20191127,25.95,25.95,25.67,25.7,21300
ACGLP,20191127,25.2,25.24,25.09,25.1,66700
ACH,20191127,7.87,7.92,7.85,7.91,15400
ACHC,20191127,32.34,32.81,32.34,32.6,611200
ACHN,20191127,6.19,6.2,6.15,6.19,604200
ACHV,20191127,0.9146,0.95,0.88,0.9214,31300
ACIA,20191127,67.28,67.28,66.59,66.67,529700
ACIO,20191127,25.42,25.43,25.4075,25.4075,14700
ACIU,20191127,8.41,8.54,8.29,8.46,131700
ACIW,20191127,37.7,38.02,37.5296,37.79,667900
ACLS,20191127,21.73,21.78,21.37,21.73,71700
ACM,20191127,43.22,44.16,43.21,43.84,1398200
ACMR,20191127,14.08,14.15,13.57,13.79,186600
ACN,20191127,200.54,201.36,199.19,201.25,1205000
ACNB,20191127,35.42,35.51,35.37,35.48,2300
ACOR,20191127,1.75,1.8199,1.7351,1.75,604200
ACP,20191127,11.06,11.06,10.8599,10.95,255400
ACRE,20191127,15.5,15.6,15.458,15.59,103000
ACRS,20191127,1.65,1.72,1.62,1.64,282700
ACRX,20191127,1.72,1.82,1.72,1.76,1628400
ACSG,20191127,27.6318,27.6318,27.6318,27.6318,0
ACSI,20191127,35.3729,35.4429,35.36,35.4429,600
ACST,20191127,1.98,2.02,1.96,2,1871000
ACT,20191127,24.93,25.105,24.93,25.105,4500
ACTG,20191127,3.01,3.01,2.93,2.93,36000
ACTT,20191127,9.93,9.93,9.93,9.93,400
ACTTU,20191127,10.42,10.42,10.42,10.42,400
ACTTW,20191127,0.88,0.89,0.88,0.88,1500
ACU,20191127,22.35,22.54,22.2725,22.4295,1600
ACV,20191127,24.34,24.34,24.06,24.2,23600
ACWF,20191127,30.81,30.8417,30.75,30.8417,17300
ACWI,20191127,77.87,78.055,77.81,78.02,639300
ACWV,20191127,95.97,96.09,95.75,96.04,164000
ACWX,20191127,48.27,48.36,48.23,48.35,954400
ACY,20191127,5.59,5.7098,5.05,5.45,10400
ADAP,20191127,0.91,0.96,0.861,0.9551,205800
ADBE,20191127,308.5,309.17,305.74,309.06,1470000
ADC,20191127,74.33,74.73,74.15,74.62,376400
ADES,20191127,10.28,10.51,10.16,10.35,189200
